timestamp(Asia/Shanghai),score,temp,humid,co2,voc,pm25,pm10
2024-08-07 00:05:00,99.2,25.1,43.0,505.2,50.0,4.0,5.0
2024-08-07 00:10:00,99.0,25.3,42.6,499.8,20.4,5.0,6.0
2024-08-07 00:15:00,99.0,25.4,42.2,503.4,20.2,4.2,5.2
2024-08-07 00:20:00,99.0,25.3,41.9,503.6,20.6,4.2,5.2
2024-08-07 00:25:00,99.0,25.3,41.8,494.8,20.4,4.0,5.0
2024-08-07 00:30:00,98.2,25.7,41.4,498.6,21.0,4.2,5.2
2024-08-07 00:35:00,98.6,25.6,41.4,499.4,20.0,5.4,6.4
2024-08-07 00:40:00,99.2,25.2,42.4,486.6,20.0,4.6,5.6
2024-08-07 00:45:00,94.4,25.1,43.4,481.2,27.6,23.2,24.4
2024-08-07 00:50:00,99.2,25.3,43.5,491.2,40.6,5.6,6.6
2024-08-07 00:55:00,96.8,25.7,43.5,523.6,72.4,10.6,11.6
2024-08-07 01:00:00,95.6,25.6,43.0,529.0,42.2,14.2,15.2
2024-08-07 01:05:00,98.6,25.3,43.5,487.2,26.8,7.8,8.8
2024-08-07 01:10:00,99.2,25.2,44.0,474.6,22.2,5.0,6.0
2024-08-07 01:15:00,99.8,25.1,44.8,473.0,20.0,4.8,5.8
2024-08-07 01:20:00,99.4,25.2,45.0,473.6,20.0,5.6,6.6
2024-08-07 01:25:00,100.0,24.9,45.3,470.6,20.0,4.8,5.8
2024-08-07 01:30:00,100.0,24.7,45.5,466.0,20.0,4.6,5.6
2024-08-07 01:35:00,100.0,24.5,46.3,459.0,22.0,4.8,5.8
2024-08-07 01:40:00,100.0,24.5,47.5,452.6,23.0,5.8,6.8
2024-08-07 01:45:00,100.0,24.3,48.3,472.6,30.2,5.4,6.4
2024-08-07 01:50:00,99.4,24.5,49.5,483.6,28.8,5.8,6.8
2024-08-07 01:55:00,99.0,25.4,48.2,474.0,20.0,5.2,6.2
2024-08-07 02:00:00,98.2,25.7,46.4,472.8,20.2,3.8,4.8
2024-08-07 02:05:00,98.5,25.6,45.2,478.5,20.0,4.0,5.0
2024-08-07 07:40:00,92.2,22.8,57.7,567.6,20.6,7.2,8.2
2024-08-07 07:45:00,95.0,23.0,56.5,548.2,20.3,9.3,10.3
2024-08-07 07:50:00,96.2,22.9,56.3,531.4,20.0,7.4,8.4
2024-08-07 07:55:00,96.4,22.9,55.8,527.8,20.0,11.4,12.4
2024-08-07 08:00:00,96.4,23.0,55.6,526.8,20.0,11.6,12.8
2024-08-07 08:05:00,96.8,23.1,55.4,532.2,20.0,8.4,9.4
2024-08-07 08:10:00,96.8,23.2,55.6,535.2,20.0,8.2,9.2
2024-08-07 08:15:00,95.8,23.2,55.7,545.0,58.6,9.8,10.8
2024-08-07 08:20:00,95.8,23.1,55.7,540.8,181.2,8.2,9.2
2024-08-07 08:25:00,94.4,23.5,55.1,587.6,258.2,6.4,7.4
2024-08-07 08:30:00,93.0,23.6,54.8,643.4,203.8,5.8,6.8
2024-08-07 08:35:00,93.5,23.6,54.9,629.5,150.0,5.0,6.0
2024-08-07 09:10:00,94.0,23.9,54.1,625.5,20.0,3.5,4.5
2024-08-07 09:20:00,94.0,24.0,52.9,665.4,20.2,2.6,3.6
2024-08-07 09:25:00,93.6,23.7,53.0,677.4,20.6,4.0,5.0
2024-08-07 09:30:00,93.2,23.8,52.5,700.2,24.8,3.0,4.0
2024-08-07 09:35:00,93.2,23.8,52.3,718.2,28.6,2.6,3.6
2024-08-07 09:40:00,93.8,23.8,51.9,697.4,21.8,2.8,3.8
2024-08-07 09:45:00,93.4,23.7,51.9,707.4,23.6,2.2,3.2
2024-08-07 09:50:00,93.0,23.6,51.9,727.0,24.2,2.4,3.4
2024-08-07 09:55:00,93.6,23.6,51.7,708.8,20.0,1.8,2.8
2024-08-07 10:00:00,94.0,23.5,51.7,695.8,20.0,2.6,3.6
2024-08-07 10:05:00,93.8,23.5,52.1,699.4,20.0,2.6,3.6
2024-08-07 10:10:00,94.0,23.6,52.2,693.6,20.0,2.2,3.2
2024-08-07 10:15:00,93.2,23.6,52.4,702.2,20.0,2.0,3.0
2024-08-07 10:20:00,93.4,23.6,52.6,697.8,20.0,3.0,4.0
2024-08-07 10:25:00,93.0,23.6,53.0,699.8,20.0,2.8,3.8
2024-08-07 10:30:00,93.0,23.7,53.2,714.2,20.0,3.0,4.0
2024-08-07 10:35:00,93.0,23.5,53.7,706.0,20.0,2.8,3.8
2024-08-07 10:40:00,93.0,23.6,53.9,706.2,20.6,3.4,4.4
2024-08-07 10:45:00,93.0,23.5,54.1,704.2,20.0,3.8,4.8
2024-08-07 10:50:00,93.8,23.5,54.2,640.2,20.0,4.0,5.0
2024-08-07 10:55:00,94.2,23.4,54.0,617.6,20.0,3.8,4.8
2024-08-07 11:00:00,94.6,23.6,54.4,604.0,25.2,4.0,5.0
2024-08-07 11:05:00,94.0,23.8,53.7,639.0,48.4,3.4,4.4
2024-08-07 11:10:00,93.8,23.9,53.4,672.6,56.0,3.0,4.0
2024-08-07 11:15:00,94.0,23.8,53.6,665.0,52.6,3.0,4.0
2024-08-07 11:20:00,93.2,23.7,54.0,686.2,67.6,2.8,3.8
2024-08-07 11:25:00,93.0,23.7,54.0,706.4,68.0,2.6,3.6
2024-08-07 11:30:00,93.0,23.7,53.9,695.8,68.0,2.8,3.8
2024-08-07 11:35:00,93.0,23.7,54.3,701.4,68.4,3.2,4.2
2024-08-07 11:40:00,92.0,23.6,54.5,716.2,71.8,1.8,2.8
2024-08-07 11:45:00,92.6,23.7,54.3,712.8,73.2,2.2,3.2
2024-08-07 11:50:00,92.2,23.6,54.4,718.4,73.2,1.8,2.8
2024-08-07 11:55:00,92.0,23.6,54.5,725.2,75.0,1.8,2.8
2024-08-07 12:00:00,92.0,23.7,54.6,724.6,74.2,1.8,2.8
2024-08-07 12:05:00,92.0,23.7,54.7,730.0,76.2,1.8,2.8
2024-08-07 12:10:00,92.0,23.7,54.8,731.2,75.4,2.4,3.4
2024-08-07 12:15:00,92.2,23.8,54.3,720.6,76.0,2.4,3.4
2024-08-07 12:20:00,93.0,23.8,54.0,711.6,74.2,2.2,3.2
2024-08-07 12:25:00,93.0,23.8,54.0,717.8,73.8,1.8,2.8
2024-08-07 12:30:00,93.0,23.8,53.9,717.4,74.0,2.6,3.6
2024-08-07 12:35:00,93.0,23.7,53.9,715.2,72.4,2.2,3.2
2024-08-07 12:40:00,92.2,23.9,53.9,733.2,80.6,1.8,2.8
2024-08-07 12:45:00,92.4,23.8,53.8,729.0,74.0,2.0,3.0
2024-08-07 12:50:00,93.0,23.8,53.7,707.8,76.4,2.2,3.2
2024-08-07 12:55:00,92.4,23.9,53.8,731.8,83.8,2.0,3.0
2024-08-07 13:00:00,91.2,23.9,53.9,790.6,95.6,2.6,3.6
2024-08-07 13:05:00,90.2,23.9,53.9,836.2,100.4,2.0,3.0
2024-08-07 13:10:00,90.6,23.9,53.8,830.4,96.2,2.4,3.4
2024-08-07 13:15:00,91.0,24.0,53.8,821.0,96.6,2.0,3.0
2024-08-07 13:20:00,91.0,23.9,53.8,815.0,93.0,2.0,3.0
2024-08-07 13:25:00,91.2,23.9,53.9,792.6,88.2,2.2,3.2
2024-08-07 13:30:00,92.0,23.9,53.8,760.8,87.4,2.2,3.2
2024-08-07 13:35:00,92.0,24.0,53.7,751.6,87.6,2.0,3.0
2024-08-07 13:40:00,92.0,24.1,53.5,764.8,91.8,1.8,2.8
2024-08-07 13:45:00,91.4,24.1,53.4,786.8,92.8,1.4,2.4
2024-08-07 13:50:00,91.8,24.1,53.4,783.4,92.4,1.8,2.8
2024-08-07 13:55:00,91.8,24.0,53.8,773.0,89.4,1.8,2.8
2024-08-07 14:00:00,91.4,24.0,53.8,780.8,91.0,2.4,3.4
2024-08-07 14:05:00,91.0,24.0,54.0,794.8,91.5,2.8,3.8
2024-08-07 14:10:00,90.5,23.9,54.2,827.5,101.5,1.5,2.5
2024-08-07 14:15:00,90.0,23.9,54.2,866.2,102.2,1.8,2.8
2024-08-07 14:20:00,89.6,23.9,54.3,871.4,103.6,1.8,2.8
2024-08-07 14:25:00,89.6,23.9,54.2,876.4,105.4,2.0,3.0
2024-08-07 14:30:00,90.0,24.0,54.1,862.0,104.4,2.2,3.2
2024-08-07 14:35:00,90.0,24.1,53.8,859.8,111.0,2.0,3.0
2024-08-07 14:40:00,90.0,24.1,53.9,858.2,111.4,2.2,3.2
2024-08-07 14:45:00,90.0,24.0,54.0,857.6,111.4,2.2,3.2
2024-08-07 14:50:00,87.2,24.1,54.1,1005.8,143.0,1.8,2.8
2024-08-07 14:55:00,86.7,24.1,54.1,1035.7,146.0,1.7,2.7
2024-08-07 15:00:00,86.8,24.0,54.1,1040.8,143.4,1.6,2.6
2024-08-07 15:05:00,86.4,24.1,54.1,1052.6,154.2,2.0,3.0
2024-08-07 15:10:00,86.4,24.1,54.0,1048.2,146.8,2.0,3.0
2024-08-07 15:15:00,86.8,24.1,53.9,1043.2,146.2,2.0,3.0
2024-08-07 15:20:00,87.0,24.1,53.9,1035.8,145.8,2.4,3.4
2024-08-07 15:25:00,87.0,24.2,53.8,1026.0,145.4,2.8,3.8
2024-08-07 15:30:00,87.0,24.2,53.7,996.4,136.8,2.0,3.0
2024-08-07 15:35:00,87.2,24.1,53.9,989.0,131.6,2.6,3.6
2024-08-07 15:40:00,88.6,23.9,54.1,915.2,119.4,2.2,3.2
2024-08-07 15:45:00,91.6,24.0,54.2,767.4,99.8,2.0,3.0
2024-08-07 15:50:00,86.8,24.2,54.0,977.6,270.2,2.0,3.0
2024-08-07 15:55:00,89.0,24.1,54.0,882.0,258.0,2.0,3.0
2024-08-08 00:35:00,99.0,23.6,51.3,487.5,114.0,7.0,8.0
2024-08-08 00:40:00,97.6,23.6,51.1,540.2,98.0,9.6,10.6
2024-08-08 00:45:00,96.4,23.6,51.4,574.0,82.0,9.4,10.4
2024-08-08 00:50:00,96.0,23.9,50.8,605.4,70.8,6.8,7.8
2024-08-08 00:55:00,95.8,23.9,50.9,613.0,57.8,9.0,10.0
2024-08-08 01:00:00,94.8,23.8,51.4,638.4,54.2,10.4,11.4
2024-08-08 01:05:00,93.4,23.8,51.6,670.6,46.8,11.8,13.0
2024-08-08 01:10:00,93.8,23.8,51.6,676.2,38.2,8.2,9.2
2024-08-08 01:15:00,93.8,23.8,51.7,677.2,31.0,7.6,8.6
2024-08-08 01:20:00,94.0,23.9,51.6,680.3,25.3,6.3,7.3
2024-08-08 01:25:00,93.4,24.0,51.7,677.4,20.0,12.8,13.8
2024-08-08 01:30:00,93.8,24.0,51.7,676.0,20.2,8.4,9.4
2024-08-08 01:35:00,93.4,24.1,51.7,677.6,24.0,10.4,11.4
2024-08-08 01:40:00,93.4,24.2,51.4,720.6,24.0,7.2,8.2
2024-08-08 01:45:00,94.0,24.1,51.6,694.4,20.0,7.4,8.4
2024-08-08 01:50:00,94.0,24.0,51.9,688.5,20.0,7.0,8.0
2024-08-08 02:25:00,95.0,24.0,51.7,633.2,20.0,10.2,11.2
2024-08-08 02:30:00,93.4,23.7,52.3,634.8,20.2,13.2,14.2
2024-08-08 02:35:00,95.0,23.8,52.7,630.4,23.0,7.8,8.8
2024-08-08 02:40:00,94.4,23.8,53.2,652.4,39.6,6.8,7.8
2024-08-08 02:45:00,94.0,24.0,53.0,683.0,45.4,6.4,7.4
2024-08-08 02:50:00,93.8,24.0,53.0,701.0,37.2,6.8,7.8
2024-08-08 02:55:00,86.2,24.0,53.0,717.8,885.6,19.8,21.0
2024-08-08 03:00:00,87.4,24.1,52.8,733.8,1085.2,8.6,9.6
2024-08-08 03:05:00,86.6,24.0,53.0,734.6,769.0,15.0,16.2
2024-08-08 03:10:00,88.0,24.0,53.0,748.6,618.8,11.6,12.6
2024-08-08 03:15:00,89.8,24.0,52.9,759.6,448.2,6.8,7.8
2024-08-08 03:20:00,89.6,23.9,52.9,766.2,320.0,11.2,12.2
2024-08-08 03:25:00,91.0,24.1,52.6,768.2,243.6,11.0,12.0
2024-08-08 03:30:00,91.0,24.1,52.6,766.2,177.4,14.2,15.4
2024-08-08 03:35:00,93.0,24.0,52.7,760.4,130.4,7.0,8.0
2024-08-08 03:40:00,91.4,23.7,53.3,746.2,105.6,15.0,16.2
2024-08-08 03:45:00,91.4,23.7,54.0,733.6,140.6,11.0,12.2
2024-08-08 03:50:00,90.0,23.8,55.0,731.8,99.8,12.8,13.8
2024-08-08 03:55:00,91.6,23.8,54.6,742.2,73.2,9.2,10.2
2024-08-08 04:00:00,92.2,23.7,54.3,749.8,52.0,8.0,9.0
2024-08-08 04:05:00,91.2,23.7,54.2,748.2,52.6,11.2,12.2
2024-08-08 04:10:00,92.4,23.8,53.8,751.8,135.4,6.4,7.4
2024-08-08 04:15:00,93.0,23.7,53.7,747.0,106.6,6.0,7.0
2024-08-08 04:20:00,92.6,23.8,53.5,750.8,82.6,8.6,9.6
2024-08-08 04:25:00,92.6,23.8,53.6,753.2,62.0,7.6,8.6
2024-08-08 04:30:00,90.6,23.8,53.7,777.4,55.0,14.6,15.8
2024-08-08 04:35:00,92.2,23.7,53.6,787.4,33.0,7.2,8.2
2024-08-08 04:40:00,91.6,23.8,53.5,790.0,23.8,9.0,10.0
2024-08-08 04:45:00,91.4,23.8,53.6,794.2,168.0,6.6,7.6
2024-08-08 04:50:00,92.0,23.7,53.7,798.8,133.2,6.0,7.0
2024-08-08 04:55:00,92.0,23.7,53.9,797.0,108.4,5.8,6.8
2024-08-08 05:00:00,92.0,23.7,54.2,800.4,82.6,5.8,6.8
2024-08-08 05:05:00,92.0,23.8,54.1,812.0,70.0,6.2,7.2
2024-08-08 05:10:00,90.8,23.8,54.1,820.0,54.0,10.2,11.2
2024-08-08 05:15:00,92.0,23.7,54.1,811.2,29.5,6.5,7.5
2024-08-08 05:20:00,91.2,23.7,54.0,800.0,20.0,8.0,9.0
2024-08-08 05:25:00,92.0,23.7,53.9,795.8,20.0,5.8,6.8
2024-08-08 05:30:00,92.2,23.8,53.7,789.4,20.0,5.4,6.4
2024-08-08 05:35:00,92.6,23.8,53.5,785.2,20.0,5.8,6.8
2024-08-08 05:40:00,92.4,23.8,53.5,784.2,20.0,6.8,7.8
2024-08-08 05:45:00,92.6,23.7,53.8,775.2,20.0,6.0,7.0
2024-08-08 05:50:00,92.0,23.6,53.9,753.0,20.0,8.6,9.6
2024-08-08 05:55:00,93.0,23.6,53.9,724.4,20.0,5.0,6.0
2024-08-08 06:00:00,92.4,23.6,54.2,705.6,20.0,9.0,10.0
2024-08-08 06:05:00,93.6,23.6,53.8,693.2,27.6,4.0,5.0
2024-08-08 06:10:00,93.0,23.4,54.1,691.2,47.2,3.4,4.4
2024-08-08 06:15:00,94.0,23.3,54.1,649.4,22.8,3.2,4.2
